Film,Genre,Director,Year released,IMDB link,Country
MASH,Comedy,Robert Altman,1970,http://www.imdb.com/title/tt0066026/,USA
Groundhog Day,Comedy,Harold Ramis,1993,http://www.imdb.com/title/tt0107048/,USA
Clueless,Comedy,Amy Heckerling,1995,http://www.imdb.com/title/tt0112697/,USA
The Great Dictator,Comedy,Charlie Chaplin,1940,http://www.imdb.com/title/tt0032553/,USA
Clerks,Comedy,Kevin Smith,1994,http://www.imdb.com/title/tt0109445/,USA
The Jerk,Comedy,Carl Reiner,1979,http://www.imdb.com/title/tt0079367/,USA
Shaun of the Dead,Comedy,Edgar Wright,2004,http://www.imdb.com/title/tt0365748/,UK
Apocalypse Now,Action,Francis Coppola,1979,http://www.imdb.com/title/tt0078788/,USA
North by Northwest,Action,Alfred Hitchcock,1959,http://www.imdb.com/title/tt0053125/,USA
Once Upon a Time in the West,Action,Sergio Leone,1968,http://www.imdb.com/title/tt0064116/,Italy
The Wild Bunch,Action,Sam Pekinpah,1969,http://www.imdb.com/title/tt0065214/,USA
Deliverance,Action,John Boorman ,1972,http://www.imdb.com/title/tt0068473/,USA
City of God,Action,Fernando Meirelles,2002,http://www.imdb.com/title/tt0317248/,Brazil
Paths of Glory,Action,Stanley Kubrick,1957,http://www.imdb.com/title/tt0050825/,USA
The Wages of Fear,Action,Henri-Georges Clouzot,1953,http://www.imdb.com/title/tt0046268/,France
Crouching Tiger Hidden Dragon,Action,Ang Lee,2000,http://www.imdb.com/title/tt0190332/,Taiwan
 The Thin Red Line,Action,Terrence Malik,1998,http://www.imdb.com/title/tt0120863/,USA
Raiders of the Lost Ark,Action,Steven Spielberg,1981,http://www.imdb.com/title/tt0082971/,USA
 Bullitt,Action,Peter Yates,1968,http://www.imdb.com/title/tt0062765/,USA
Ran,Action,Akira Kurosawa,1985,http://www.imdb.com/title/tt0089881/,Japan
Die Hard,Action,John McTeirnan,1988,http://www.imdb.com/title/tt0095016/,Japan
The Adventures of Robin Hood,Action,Michael Curtiz,1938,http://www.imdb.com/title/tt0029843/,USA
 The Searchers,Action,John Ford,1956,http://www.imdb.com/title/tt0049730/,USA
Goldfinger,Action,Guy Hamilton,1964,http://www.imdb.com/title/tt0058150/,UK
Full Metal Jacket,Action,Stanley Kubrick,1987,http://www.imdb.com/title/tt0093058/,USA
Last of the Mohicans,Action,Michael Mann,1992,http://www.imdb.com/title/tt0104691/,
Deer Hunter,Action,Michael Cimino,1978,http://www.imdb.com/title/tt0077416/,USA
Gladiator,Action,Ridley Scott,2000,http://www.imdb.com/title/tt0172495/,USA
Rome Open City,Action,Roberto Rossellini,1945,http://www.imdb.com/title/tt0038890/,Italy
Butch Cassidy,Action,George Roy Hill,1969,http://www.imdb.com/title/tt0064115/,USA
Where Eagles Dare,Action,Brian G. Hutton,1968,http://www.imdb.com/title/tt0065207/,USA
The Incredibles,Action,Brad Bird,2004,http://www.imdb.com/title/tt0317705/,USA
Andrei Rublev,Drama,Andrei Tarkovsky,1966,http://www.imdb.com/title/tt0060107/,Soviet Union
Mulholland Dr,Drama,David Lynch,2001,http://www.imdb.com/title/tt0166924/,France
L’Atalante,Drama,Jean Vigo,1934,http://www.imdb.com/title/tt0024844/,France
Tokyo Story,Drama,Yasujiro Ozu,1953,http://www.imdb.com/title/tt0046438/,Japan
Citizen Kane,Drama,Orson Welles,1941,http://www.imdb.com/title/tt0033467/,USA
A Clockwork Orange,Drama,Stanley Kubrick,1971,http://www.imdb.com/title/tt0066921/,USA
Days of Heaven,Drama,Terrence Malik,1978,http://www.imdb.com/title/tt0077405/,USA
Wild Strawberries,Drama,Ingmar Bergman,1957,http://www.imdb.com/title/tt0050986/,Sweden
White Ribbon,Drama,Michael Haneke,2009,http://www.imdb.com/title/tt1149362/,Germany
The Gospel According to St Matthew,Drama,Pier Paolo Pasolini,1964,http://www.imdb.com/title/tt0058715/,Italy
Aguirre Wrath of God,Drama,Werner Herzog,1972,http://www.imdb.com/title/tt0068182/,Germany
Pather Panchali,Drama,Satyajit Ray,1955,http://www.imdb.com/title/tt0048473/,India
The Conformist,Drama,Bernado Bertolucci,1970,http://www.imdb.com/title/tt0065571/,Italy
Death in Venice,Drama,Luchino Visconti,1971,http://www.imdb.com/title/tt0067445/,Italy
